Round,Home Team,Away Team
1,Shandong Hi-Speed Kirin,Sichuan Blue Whales
1,Beijing Ducks,Liaoning Flying Leopards
1,Ningbo Rockets,Shenzhen Leopards
1,Beijing Royal Fighters,Xinjiang Flying Tigers
1,Fujian Sturgeons,Zhejiang Guangsha Lions
1,Qingdao Eagles,Nanjing Monkey Kings
1,Shanxi Loongs,Zhejiang Golden Bulls
1,Guangdong Southern Tigers,Guangzhou Loong Lions
1,Jiangsu Dragons,Shanghai Sharks
1,Tianjin Pioneers,Jilin Northeast Tigers
2,Guangzhou Loong Lions,Shenzhen Leopards
2,Jiangsu Dragons,Liaoning Flying Leopards
2,Qingdao Eagles,Xinjiang Flying Tigers
2,Shandong Hi-Speed Kirin,Shanghai Sharks
2,Shanxi Loongs,Nanjing Monkey Kings
2,Beijing Ducks,Jilin Northeast Tigers
2,Sichuan Blue Whales,Zhejiang Golden Bulls
2,Guangdong Southern Tigers,Fujian Sturgeons
2,Tianjin Pioneers,Zhejiang Guangsha Lions
2,Ningbo Rockets,Beijing Royal Fighters
3,Guangdong Southern Tigers,Shenzhen Leopards
3,Qingdao Eagles,Shanghai Sharks
3,Guangzhou Loong Lions,Zhejiang Golden Bulls
3,Shanxi Loongs,Tianjin Pioneers
3,Sichuan Blue Whales,Beijing Royal Fighters
3,Ningbo Rockets,Nanjing Monkey Kings
3,Jiangsu Dragons,Liaoning Flying Leopards
3,Zhejiang Guangsha Lions,Xinjiang Flying Tigers
3,Fujian Sturgeons,Jilin Northeast Tigers
3,Shandong Hi-Speed Kirin,Beijing Ducks
4,Guangzhou Loong Lions,Beijing Royal Fighters
4,Zhejiang Guangsha Lions,Qingdao Eagles
4,Fujian Sturgeons,Nanjing Monkey Kings
4,Jiangsu Dragons,Xinjiang Flying Tigers
4,Shanghai Sharks,Beijing Ducks
4,Shanxi Loongs,Liaoning Flying Leopards
4,Shenzhen Leopards,Zhejiang Golden Bulls
4,Tianjin Pioneers,Ningbo Rockets
4,Shandong Hi-Speed Kirin,Jilin Northeast Tigers
4,Sichuan Blue Whales,Guangdong Southern Tigers
5,Beijing Royal Fighters,Liaoning Flying Leopards
5,Shanghai Sharks,Sichuan Blue Whales
5,Zhejiang Guangsha Lions,Shenzhen Leopards
5,Fujian Sturgeons,Beijing Ducks
5,Guangzhou Loong Lions,Jilin Northeast Tigers
5,Qingdao Eagles,Shandong Hi-Speed Kirin
5,Zhejiang Golden Bulls,Xinjiang Flying Tigers
5,Tianjin Pioneers,Ningbo Rockets
5,Shanxi Loongs,Guangdong Southern Tigers
5,Jiangsu Dragons,Nanjing Monkey Kings
6,Guangdong Southern Tigers,Jilin Northeast Tigers
6,Tianjin Pioneers,Beijing Ducks
6,Ningbo Rockets,Liaoning Flying Leopards
6,Jiangsu Dragons,Xinjiang Flying Tigers
6,Zhejiang Golden Bulls,Shanxi Loongs
6,Zhejiang Guangsha Lions,Shandong Hi-Speed Kirin
6,Nanjing Monkey Kings,Sichuan Blue Whales
6,Shanghai Sharks,Shenzhen Leopards
