Team,Round,Km,From,To
Beijing Ducks,1,1028,Beijing,Suzhou
Beijing Ducks,2,1028,Suzhou,Beijing
Beijing Ducks,3,0,Beijing,Beijing
Beijing Ducks,4,0,Beijing,Beijing
Beijing Ducks,5,1525,Beijing,Chengdu
Beijing Ducks,6,2065,Chengdu,Urumqi
Beijing Ducks,7,3509,Urumqi,Jinjiang
Beijing Ducks,8,1693,Jinjiang,Beijing
Beijing Ducks,9,0,Beijing,Beijing
Beijing Ducks,10,1123,Beijing,Hangzhou
Beijing Ducks,11,141,Hangzhou,Ningbo
Beijing Ducks,12,1210,Ningbo,Beijing
Beijing Ducks,13,1943,Beijing,Shenzhen
Beijing Ducks,14,1943,Shenzhen,Beijing
Beijing Ducks,15,0,Beijing,Beijing
Beijing Ducks,16,0,Beijing,Beijing
Beijing Ducks,17,1067,Beijing,Shanghai
Beijing Ducks,18,1067,Shanghai,Beijing
Beijing Ducks,19,0,Beijing,Beijing
Beijing Ducks,20,403,Beijing,Taiyuan
Beijing Ducks,21,449,Taiyuan,Tianjin
Beijing Ducks,22,103,Tianjin,Beijing
Beijing Ducks,23,0,Beijing,Beijing
Beijing Ducks,24,0,Beijing,Beijing
Beijing Ducks,25,1889,Beijing,Guangzhou
Beijing Ducks,26,1889,Guangzhou,Beijing
Beijing Ducks,27,1693,Beijing,Jinjiang
Beijing Ducks,28,1946,Jinjiang,Shenyang
Beijing Ducks,29,272,Shenyang,Changchun
Beijing Ducks,30,856,Changchun,Beijing
Beijing Ducks,31,1894,Beijing,Dongguan
Beijing Ducks,32,1121,Dongguan,Nanjing
Beijing Ducks,33,237,Nanjing,Hangzhou
Beijing Ducks,34,1123,Hangzhou,Beijing
Beijing Ducks,35,0,Beijing,Beijing
Beijing Ducks,36,1889,Beijing,Guangzhou
Beijing Ducks,37,1889,Guangzhou,Beijing
Beijing Ducks,38,0,Beijing,Beijing
Beijing Ducks,39,0,Beijing,Beijing
Beijing Ducks,40,365,Beijing,Jinan
Beijing Ducks,41,310,Jinan,Qingdao
Beijing Ducks,42,551,Qingdao,Beijing
Beijing Royal Fighters,1,0,Beijing,Beijing
Beijing Royal Fighters,2,0,Beijing,Beijing
Beijing Royal Fighters,3,0,Beijing,Beijing
Beijing Royal Fighters,4,365,Beijing,Jinan
Beijing Royal Fighters,5,797,Jinan,Shenyang
Beijing Royal Fighters,6,272,Shenyang,Changchun
Beijing Royal Fighters,7,856,Changchun,Beijing
Beijing Royal Fighters,8,0,Beijing,Beijing
Beijing Royal Fighters,9,1943,Beijing,Shenzhen
Beijing Royal Fighters,10,1943,Shenzhen,Beijing
Beijing Royal Fighters,11,103,Beijing,Tianjin
Beijing Royal Fighters,12,1552,Tianjin,Chengdu
Beijing Royal Fighters,13,1542,Chengdu,Hangzhou
Beijing Royal Fighters,14,1123,Hangzhou,Beijing
Beijing Royal Fighters,15,0,Beijing,Beijing
Beijing Royal Fighters,16,1894,Beijing,Dongguan
Beijing Royal Fighters,17,51,Dongguan,Guangzhou
Beijing Royal Fighters,18,1889,Guangzhou,Beijing
Beijing Royal Fighters,19,0,Beijing,Beijing
Beijing Royal Fighters,20,0,Beijing,Beijing
Beijing Royal Fighters,21,0,Beijing,Beijing
Beijing Royal Fighters,22,1693,Beijing,Jinjiang
Beijing Royal Fighters,23,638,Jinjiang,Ningbo
Beijing Royal Fighters,24,152,Ningbo,Shanghai
Beijing Royal Fighters,25,1067,Shanghai,Beijing
Beijing Royal Fighters,26,2411,Beijing,Urumqi
Beijing Royal Fighters,27,2189,Urumqi,Taiyuan
Beijing Royal Fighters,28,1097,Taiyuan,Hangzhou
Beijing Royal Fighters,29,1123,Hangzhou,Beijing
Beijing Royal Fighters,30,0,Beijing,Beijing
Beijing Royal Fighters,31,0,Beijing,Beijing
Beijing Royal Fighters,32,551,Beijing,Qingdao
Beijing Royal Fighters,33,551,Qingdao,Beijing
Beijing Royal Fighters,34,0,Beijing,Beijing
Beijing Royal Fighters,35,1028,Beijing,Suzhou
Beijing Royal Fighters,36,189,Suzhou,Nanjing
Beijing Royal Fighters,37,898,Nanjing,Beijing
Beijing Royal Fighters,38,0,Beijing,Beijing
Beijing Royal Fighters,39,0,Beijing,Beijing
Beijing Royal Fighters,40,0,Beijing,Beijing
Beijing Royal Fighters,41,1123,Beijing,Hangzhou
Beijing Royal Fighters,42,141,Hangzhou,Ningbo
Fujian Sturgeons,1,3509,Jinjiang,Urumqi
Fujian Sturgeons,2,3509,Urumqi,Jinjiang
Fujian Sturgeons,3,0,Jinjiang,Jinjiang
Fujian Sturgeons,4,631,Jinjiang,Hangzhou
Fujian Sturgeons,5,0,Hangzhou,Hangzhou
Fujian Sturgeons,6,631,Hangzhou,Jinjiang
Fujian Sturgeons,7,0,Jinjiang,Jinjiang
Fujian Sturgeons,8,0,Jinjiang,Jinjiang
Fujian Sturgeons,9,1563,Jinjiang,Chengdu
Fujian Sturgeons,10,1563,Chengdu,Jinjiang
Fujian Sturgeons,11,0,Jinjiang,Jinjiang
Fujian Sturgeons,12,2204,Jinjiang,Changchun
Fujian Sturgeons,13,2204,Changchun,Jinjiang
Fujian Sturgeons,14,1693,Jinjiang,Beijing
Fujian Sturgeons,15,103,Beijing,Tianjin
Fujian Sturgeons,16,449,Tianjin,Taiyuan
Fujian Sturgeons,17,1562,Taiyuan,Jinjiang
Fujian Sturgeons,18,0,Jinjiang,Jinjiang
Fujian Sturgeons,19,0,Jinjiang,Jinjiang
Fujian Sturgeons,20,521,Jinjiang,Shenzhen
Fujian Sturgeons,21,104,Shenzhen,Guangzhou
Fujian Sturgeons,22,568,Guangzhou,Jinjiang
Fujian Sturgeons,23,1693,Jinjiang,Beijing
Fujian Sturgeons,24,551,Beijing,Qingdao
Fujian Sturgeons,25,1267,Qingdao,Jinjiang
Fujian Sturgeons,26,810,Jinjiang,Nanjing
Fujian Sturgeons,27,810,Nanjing,Jinjiang
Fujian Sturgeons,28,0,Jinjiang,Jinjiang
Fujian Sturgeons,29,0,Jinjiang,Jinjiang
Fujian Sturgeons,30,638,Jinjiang,Ningbo
Fujian Sturgeons,31,638,Ningbo,Jinjiang
Fujian Sturgeons,32,0,Jinjiang,Jinjiang
Fujian Sturgeons,33,1328,Jinjiang,Jinan
Fujian Sturgeons,34,1328,Jinan,Jinjiang
Fujian Sturgeons,35,631,Jinjiang,Hangzhou
Fujian Sturgeons,36,1315,Hangzhou,Shenyang
Fujian Sturgeons,37,1189,Shenyang,Shanghai
Fujian Sturgeons,38,772,Shanghai,Jinjiang
Fujian Sturgeons,39,752,Jinjiang,Suzhou
Fujian Sturgeons,40,1141,Suzhou,Dongguan
Fujian Sturgeons,41,51,Dongguan,Guangzhou
Fujian Sturgeons,42,568,Guangzhou,Jinjiang
Guangdong Southern Tigers,1,0,Dongguan,Dongguan
Guangdong Southern Tigers,2,1027,Dongguan,Hangzhou
Guangdong Southern Tigers,3,1027,Hangzhou,Dongguan
Guangdong Southern Tigers,4,0,Dongguan,Dongguan
Guangdong Southern Tigers,5,51,Dongguan,Guangzhou
Guangdong Southern Tigers,6,51,Guangzhou,Dongguan
Guangdong Southern Tigers,7,1655,Dongguan,Taiyuan
Guangdong Southern Tigers,8,449,Taiyuan,Tianjin
Guangdong Southern Tigers,9,103,Tianjin,Beijing
Guangdong Southern Tigers,10,0,Beijing,Beijing
Guangdong Southern Tigers,11,1894,Beijing,Dongguan
Guangdong Southern Tigers,12,0,Dongguan,Dongguan
Guangdong Southern Tigers,13,2274,Dongguan,Shenyang
Guangdong Southern Tigers,14,1159,Shenyang,Nanjing
Guangdong Southern Tigers,15,1121,Nanjing,Dongguan
Guangdong Southern Tigers,16,0,Dongguan,Dongguan
Guangdong Southern Tigers,17,1275,Dongguan,Chengdu
Guangdong Southern Tigers,18,2378,Chengdu,Changchun
Guangdong Southern Tigers,19,2544,Changchun,Dongguan
Guangdong Southern Tigers,20,0,Dongguan,Dongguan
Guangdong Southern Tigers,21,0,Dongguan,Dongguan
Guangdong Southern Tigers,22,1086,Dongguan,Ningbo
Guangdong Southern Tigers,23,1086,Ningbo,Dongguan
Guangdong Southern Tigers,24,3325,Dongguan,Urumqi
Guangdong Southern Tigers,25,3386,Urumqi,Shenzhen
Guangdong Southern Tigers,26,62,Shenzhen,Dongguan
Guangdong Southern Tigers,27,0,Dongguan,Dongguan
Guangdong Southern Tigers,28,1141,Dongguan,Suzhou
Guangdong Southern Tigers,29,85,Suzhou,Shanghai
Guangdong Southern Tigers,30,1190,Shanghai,Dongguan
Guangdong Southern Tigers,31,0,Dongguan,Dongguan
Guangdong Southern Tigers,32,1275,Dongguan,Chengdu
Guangdong Southern Tigers,33,1275,Chengdu,Dongguan
Guangdong Southern Tigers,34,0,Dongguan,Dongguan
Guangdong Southern Tigers,35,1547,Dongguan,Jinan
Guangdong Southern Tigers,36,310,Jinan,Qingdao
Guangdong Southern Tigers,37,1585,Qingdao,Dongguan
Guangdong Southern Tigers,38,1027,Dongguan,Hangzhou
Guangdong Southern Tigers,39,1027,Hangzhou,Dongguan
Guangdong Southern Tigers,40,0,Dongguan,Dongguan
Guangdong Southern Tigers,41,1655,Dongguan,Taiyuan
Guangdong Southern Tigers,42,1562,Taiyuan,Jinjiang
Guangzhou Loong Lions,1,1231,Guangzhou,Chengdu
Guangzhou Loong Lions,3,1275,Chengdu,Dongguan
Guangzhou Loong Lions,4,1141,Dongguan,Suzhou
Guangzhou Loong Lions,5,1161,Suzhou,Guangzhou
Guangzhou Loong Lions,6,568,Guangzhou,Jinjiang
Guangzhou Loong Lions,7,568,Jinjiang,Guangzhou
Guangzhou Loong Lions,8,3284,Guangzhou,Urumqi
Guangzhou Loong Lions,9,2189,Urumqi,Taiyuan
