Team,Round,Km,From,To
Shandong Hi-Speed Kirin,1,0,Jinan,Jinan
Sichuan Blue Whales,1,1373,Chengdu,Jinan
Beijing Ducks,1,0,Beijing,Beijing
Liaoning Flying Leopards,1,627,Shenyang,Beijing
Ningbo Rockets,1,0,Ningbo,Ningbo
Shenzhen Leopards,1,1104,Shenzhen,Ningbo
Beijing Royal Fighters,1,0,Beijing,Beijing
Xinjiang Flying Tigers,1,2411,Urumqi,Beijing
Fujian Sturgeons,1,0,Jinjiang,Jinjiang
Zhejiang Guangsha Lions,1,631,Hangzhou,Jinjiang
Qingdao Eagles,1,0,Qingdao,Qingdao
Nanjing Monkey Kings,1,469,Nanjing,Qingdao
Shanxi Loongs,1,0,Taiyuan,Taiyuan
Zhejiang Golden Bulls,1,1097,Hangzhou,Taiyuan
Guangdong Southern Tigers,1,0,Dongguan,Dongguan
Guangzhou Loong Lions,1,51,Guangzhou,Dongguan
Jiangsu Dragons,1,0,Suzhou,Suzhou
Shanghai Sharks,1,85,Shanghai,Suzhou
Tianjin Pioneers,1,0,Tianjin,Tianjin
Jilin Northeast Tigers,1,828,Changchun,Tianjin
Guangzhou Loong Lions,2,51,Dongguan,Guangzhou
Shenzhen Leopards,2,1113,Ningbo,Guangzhou
Jiangsu Dragons,2,0,Suzhou,Suzhou
Liaoning Flying Leopards,2,1028,Beijing,Suzhou
Qingdao Eagles,2,0,Qingdao,Qingdao
Xinjiang Flying Tigers,2,551,Beijing,Qingdao
Shandong Hi-Speed Kirin,2,0,Jinan,Jinan
Shanghai Sharks,2,681,Suzhou,Jinan
Shanxi Loongs,2,0,Taiyuan,Taiyuan
Nanjing Monkey Kings,2,724,Qingdao,Taiyuan
Beijing Ducks,2,0,Beijing,Beijing
Jilin Northeast Tigers,2,103,Tianjin,Beijing
Sichuan Blue Whales,2,1373,Jinan,Chengdu
Zhejiang Golden Bulls,2,1124,Taiyuan,Chengdu
Guangdong Southern Tigers,2,0,Dongguan,Dongguan
Fujian Sturgeons,2,526,Jinjiang,Dongguan
Tianjin Pioneers,2,0,Tianjin,Tianjin
Zhejiang Guangsha Lions,2,1623,Jinjiang,Tianjin
Ningbo Rockets,2,0,Ningbo,Ningbo
Beijing Royal Fighters,2,1210,Beijing,Ningbo
Guangdong Southern Tigers,3,0,Dongguan,Dongguan
Shenzhen Leopards,3,51,Guangzhou,Dongguan
Qingdao Eagles,3,0,Qingdao,Qingdao
Shanghai Sharks,3,310,Jinan,Qingdao
Guangzhou Loong Lions,3,0,Guangzhou,Guangzhou
Zhejiang Golden Bulls,3,1231,Chengdu,Guangzhou
Shanxi Loongs,3,0,Taiyuan,Taiyuan
Tianjin Pioneers,3,449,Tianjin,Taiyuan
Sichuan Blue Whales,3,0,Chengdu,Chengdu
Beijing Royal Fighters,3,1679,Ningbo,Chengdu
Ningbo Rockets,3,0,Ningbo,Ningbo
Nanjing Monkey Kings,3,1216,Taiyuan,Ningbo
Jiangsu Dragons,3,0,Suzhou,Suzhou
Liaoning Flying Leopards,3,0,Suzhou,Suzhou
Zhejiang Guangsha Lions,3,1040,Tianjin,Hangzhou
Xinjiang Flying Tigers,3,644,Qingdao,Hangzhou
Fujian Sturgeons,3,526,Dongguan,Jinjiang
Jilin Northeast Tigers,3,1693,Beijing,Jinjiang
Shandong Hi-Speed Kirin,3,0,Jinan,Jinan
Beijing Ducks,3,365,Beijing,Jinan
Guangzhou Loong Lions,4,0,Guangzhou,Guangzhou
Beijing Royal Fighters,4,1231,Chengdu,Guangzhou
Zhejiang Guangsha Lions,4,0,Hangzhou,Hangzhou
Qingdao Eagles,4,644,Qingdao,Hangzhou
Fujian Sturgeons,4,0,Jinjiang,Jinjiang
Nanjing Monkey Kings,4,638,Ningbo,Jinjiang
Jiangsu Dragons,4,0,Suzhou,Suzhou
Xinjiang Flying Tigers,4,121,Hangzhou,Suzhou
Shanghai Sharks,4,547,Qingdao,Shanghai
Beijing Ducks,4,730,Jinan,Shanghai
Shanxi Loongs,4,0,Taiyuan,Taiyuan
Liaoning Flying Leopards,4,1036,Suzhou,Taiyuan
Shenzhen Leopards,4,62,Dongguan,Shenzhen
Zhejiang Golden Bulls,4,104,Guangzhou,Shenzhen
Tianjin Pioneers,4,449,Taiyuan,Tianjin
Ningbo Rockets,4,1121,Ningbo,Tianjin
Shandong Hi-Speed Kirin,4,0,Jinan,Jinan
Jilin Northeast Tigers,4,1328,Jinjiang,Jinan
Sichuan Blue Whales,4,0,Chengdu,Chengdu
Guangdong Southern Tigers,4,1275,Dongguan,Chengdu
Beijing Royal Fighters,5,1889,Guangzhou,Beijing
Liaoning Flying Leopards,5,403,Taiyuan,Beijing
Shanghai Sharks,5,0,Shanghai,Shanghai
Sichuan Blue Whales,5,1661,Chengdu,Shanghai
Zhejiang Guangsha Lions,5,0,Hangzhou,Hangzhou
Shenzhen Leopards,5,1052,Shenzhen,Hangzhou
Fujian Sturgeons,5,0,Jinjiang,Jinjiang
Beijing Ducks,5,772,Shanghai,Jinjiang
Guangzhou Loong Lions,5,0,Guangzhou,Guangzhou
Jilin Northeast Tigers,5,1546,Jinan,Guangzhou
Qingdao Eagles,5,644,Hangzhou,Qingdao
Shandong Hi-Speed Kirin,5,310,Jinan,Qingdao
Zhejiang Golden Bulls,5,1052,Shenzhen,Hangzhou
Xinjiang Flying Tigers,5,121,Suzhou,Hangzhou
Tianjin Pioneers,5,0,Tianjin,Tianjin
Ningbo Rockets,5,0,Tianjin,Tianjin
Shanxi Loongs,5,0,Taiyuan,Taiyuan
Guangdong Southern Tigers,5,1124,Chengdu,Taiyuan
Jiangsu Dragons,5,0,Suzhou,Suzhou
Nanjing Monkey Kings,5,752,Jinjiang,Suzhou
Guangdong Southern Tigers,6,1655,Taiyuan,Dongguan
Jilin Northeast Tigers,6,51,Guangzhou,Dongguan
Tianjin Pioneers,6,0,Tianjin,Tianjin
