Team,LowerBound
Beijing Ducks,9165
Beijing Royal Fighters,9165
Fujian Sturgeons,8638
Guangdong Southern Tigers,8206
Guangzhou Loong Lions,8163
Jiangsu Dragons,8838
Jilin Northeast Tigers,8458
Liaoning Flying Leopards,8687
Nanjing Monkey Kings,9264
Ningbo Rockets,8813
Qingdao Eagles,9505
Shandong Hi-Speed Kirin,9454
Shanghai Sharks,8815
Shanxi Loongs,8319
Shenzhen Leopards,8210
Sichuan Blue Whales,8394
Tianjin Pioneers,9144
Xinjiang Flying Tigers,7681
Zhejiang Golden Bulls,8820
Zhejiang Guangsha Lions,8820
