Round,Beijing Ducks,Beijing Royal Fighters,Fujian Sturgeons,Guangdong Southern Tigers,Guangzhou Loong Lions,Jiangsu Dragons,Jilin Northeast Tigers,Liaoning Flying Leopards,Nanjing Monkey Kings,Ningbo Rockets,Qingdao Eagles,Shandong Hi-Speed Kirin,Shanghai Sharks,Shanxi Loongs,Shenzhen Leopards,Sichuan Blue Whales,Tianjin Pioneers,Xinjiang Flying Tigers,Zhejiang Golden Bulls,Zhejiang Guangsha Lions
1,0,0,0,0,51,0,828,627,469,0,0,0,85,0,1104,1373,0,2411,1097,631
2,0,1210,526,0,51,0,103,1028,724,0,0,0,681,0,1113,1373,0,551,1124,1623
3,365,1679,526,0,0,0,1693,0,1216,0,0,0,310,0,51,0,449,644,1231,1040
4,730,1231,0,1275,0,0,1328,1036,638,1121,644,0,547,0,62,0,449,121,104,0
5,772,1889,0,1124,0,0,1546,403,752,0,644,310,0,0,1052,1661,0,121,1052,0
6,1623,551,0,1655,568,0,51,1210,189,1121,0,644,0,1097,165,270,0,121,0,0
7,103,551,772,0,810,1168,0,698,0,0,0,0,0,1097,1213,1408,1552,1036,0,141
8,0,0,772,1027,536,521,62,690,0,0,1632,767,270,1216,0,0,1525,403,0,1338
9,627,0,0,121,864,752,1052,0,0,0,1408,301,1408,638,0,0,103,1943,0,627
10,627,1943,0,1028,1216,184,237,0,0,0,237,301,2132,1562,0,1563,0,1594,0,103
11,1123,62,0,1894,449,1216,1159,0,536,152,644,0,1189,0,1052,1267,0,1328,0,1040
12,631,1655,0,0,581,724,1315,0,536,152,0,730,0,0,1040,698,0,526,237,0
13,638,403,0,0,2281,959,1573,1159,0,0,0,772,0,0,451,1216,103,51,1121,165
14,698,0,1693,1086,0,1453,1260,820,270,0,0,568,0,0,531,1124,103,1231,1027,165
15,551,0,1693,141,0,1161,1260,301,1440,698,0,1546,1067,403,1576,0,0,1552,631,0
16,0,365,631,1027,1161,1161,0,797,2378,690,1585,0,1123,103,1525,0,0,828,631,0
17,0,365,1040,0,121,1028,959,0,1408,797,1585,0,1027,103,898,0,0,272,0,1542
18,0,0,449,1894,0,1028,1632,0,0,365,0,681,1190,403,1159,0,820,1189,644,1542
19,403,0,1562,1894,165,0,1525,2132,0,1210,0,184,0,0,1946,0,1121,270,531,644
20,403,0,1563,1655,547,0,856,2132,0,184,0,864,0,0,810,0,2544,1159,85,310
21,0,0,2378,449,2902,0,0,2313,237,1576,531,416,1067,0,1157,0,828,2907,165,365
22,0,1067,2204,2509,3284,681,0,0,0,1231,752,416,1067,1260,0,1525,0,0,1040,1123
23,0,3268,810,3325,104,1373,0,62,237,1048,772,0,0,0,0,1525,103,0,301,0
24,2411,2998,1132,0,104,1661,0,1027,820,0,547,1547,0,959,0,1335,103,0,767,0
25,2411,1573,0,0,0,85,1587,165,2509,141,551,62,0,1585,0,1168,1040,0,0,0
26,1894,141,104,0,0,0,184,1212,0,0,551,1594,0,1547,0,121,165,0,644,0
27,51,1121,521,62,0,189,3194,2281,3007,638,310,0,0,797,0,165,976,0,644,0
28,1889,103,0,521,2551,189,2998,0,0,521,301,365,3268,1195,0,1067,0,0,1315,237
29,0,0,752,526,2551,0,0,0,1159,62,103,0,3284,1036,3386,103,0,0,272,861
30,0,1028,121,1547,0,0,1440,0,627,1086,403,365,1212,0,0,581,1121,0,1573,1641
31,1889,189,1315,310,0,121,1440,0,898,0,724,767,152,0,2189,272,3362,0,0,1048
32,104,237,1946,690,0,3228,0,0,0,0,959,237,1216,0,1710,2551,3509,0,0,141
33,1168,631,0,1159,0,3194,0,0,0,1216,272,1426,1710,0,0,1048,568,0,0,3362
34,121,631,0,1426,0,0,0,0,1132,1216,1338,272,521,1710,0,3228,1161,0,0,3228
35,1573,1123,0,1440,0,121,0,0,2281,0,638,2132,772,104,0,2065,1168,3362,1123,0
36,856,0,638,1661,0,1052,0,272,627,0,568,2065,0,1212,0,0,1052,3362,0,0
37,0,0,3362,1275,1231,1943,1440,272,1894,0,104,2411,0,165,0,0,1315,0,1210,0
38,1525,627,3228,51,1231,103,1440,0,1121,1587,3386,365,165,237,1594,0,581,0,141,0
39,1408,627,631,51,1048,941,0,1946,0,2998,2411,0,1097,861,1064,1275,301,0,0,121
40,898,0,1267,0,1123,189,0,631,0,2603,551,0,449,2189,856,2544,301,0,0,1141
41,0,0,310,0,0,1121,0,3228,0,536,0,0,828,2065,1943,2378,451,0,1123,62
42,0,0,365,0,551,2274,0,2907,1157,898,0,0,2544,0,0,0,310,0,2411,2582
